F1,F2,F3,F4,F5,F6,F7,F8,Output
0.7292,0.7917,0,1,0,0,0,2,264.53
0.7292,0.3264,2,1,2,0,1,2,965.45
0.8507,0.816,2,1,2,0,1,2,1110.53
0.7292,0.3681,2,1,1,0,1,2,1268.26
0.7222,0.4201,2,1,2,0,1,2,1730.21
0.7292,0.3264,2,1,2,0,1,2,1987.45
0.7292,0.3264,2,1,2,0,1,2,2351.45
0.7292,0.7917,0,2,0,0,1,3,324.53
0.2708,0.5104,1,2,2,0,0,3,566.75
0.8507,0.9271,1,2,2,0,1,3,653.69
0.2708,0.4306,1,2,2,0,1,3,664.01
0.3125,0.816,2,2,2,0,0,3,1110.53
0.3438,0.5104,2,2,1,0,0,3,1257.86
0.6493,0.3299,2,2,1,0,1,3,1397.41
0.7292,0.9549,2,2,2,0,1,3,1409.45
0.7222,0.4201,2,2,2,0,1,3,1665.21
0.7292,0.7917,0,3,0,0,1,4,178.53
0.9931,0.5104,1,3,2,0,1,4,401.75
0.9931,0.4444,1,3,2,0,1,4,405.69
0.7222,0.4306,1,3,2,0,1,4,563.32
0.7674,0.4306,1,3,2,0,1,4,563.32
0.8507,0.4306,1,3,2,0,1,4,563.32
0.9931,0.4306,1,3,2,0,1,4,563.32
0.2708,0.5104,1,3,2,0,0,4,566.75
0.3854,0.9271,1,3,2,0,0,4,653.69
0.7292,0.3264,2,3,2,0,1,4,965.45
0.4236,0.5868,2,3,1,0,0,4,1049.52
0.4236,0.7569,2,3,1,0,0,4,1050.52
0.5243,0.8993,2,3,2,0,0,4,1340.03
0.6493,0.9271,2,3,1,0,0,4,1384.8
0.4236,0.684,2,3,2,0,0,4,1448.85
0.7292,0.9549,2,3,2,0,0,4,1464.45
0.3403,0.816,2,3,2,0,0,4,1536.41
0.9931,0.4444,2,3,2,0,1,4,1577.69
0.7292,0.7917,0,4,0,0,0,5,178.53
0.9931,0.4306,1,4,2,0,1,5,398.32
0.2708,0.5104,1,4,2,0,0,5,401.75
0.2708,0.5729,1,4,2,0,0,5,405.69
0.8125,0.4444,1,4,2,0,1,5,405.69
0.8507,0.4444,1,4,2,0,1,5,405.69
0.9931,0.4444,1,4,2,0,1,5,405.69
0.7674,0.4306,1,4,2,0,1,5,463.32
0.8125,0.4306,1,4,2,0,1,5,463.32
0.8507,0.4306,1,4,2,0,1,5,463.32
0.3125,0.8993,1,4,2,0,0,5,677.03
0.4236,0.5868,2,4,1,0,0,5,1026.52
0.9931,0.816,2,4,2,0,1,5,1110.53
0.7674,0.5556,2,4,2,0,1,5,1115.32
0.8125,0.4306,2,4,2,0,1,5,1115.32
0.8507,0.4306,2,4,2,0,1,5,1115.32
0.9931,0.4306,2,4,2,0,1,5,1115.32
0.3438,0.5104,2,4,1,0,0,5,1257.86
0.7292,0.7917,0,5,0,0,0,6,151.53
0.9931,0.4306,1,5,2,0,1,6,398.32
